1	4264	305657	7.17	0	-32.063483	2191561
2	4496	328476	6.20	0	169.205091	2036551
3	4317	317164	4.61	0	-21.825426	1462126
4	4292	366745	7.02	0	-54.119552	2574550
5	4945	265518	8.61	1	75.933724	2286110
6	4325	301995	6.88	0	28.000660	2077726
7	4110	269334	7.23	0	-156.684401	1947285
8	4111	267631	6.27	0	-166.983381	1678046
9	4161	296350	6.49	0	-136.691019	1923312
10	4560	277223	6.37	0	275.783546	1765911
11	4401	269189	7.05	0	132.059842	1897782
12	4251	277133	6.34	0	-33.540598	1757023
13	4222	282892	6.94	0	-59.173782	1963270
14	4063	306639	8.56	0	-215.535629	2624830
15	4343	328405	6.71	0	22.975644	2203598
16	4833	321773	5.82	1	-117.076677	1872719
17	4453	272319	6.82	0	178.568096	1857216
18	4195	293880	8.38	0	-75.863154	2462714
19	4394	300867	7.72	0	108.947943	2322693
20	4099	296872	7.67	0	-183.565972	2277008
21	4816	245674	7.72	1	-49.165210	1896603
22	4867	211944	6.45	1	11.662167	1367039
23	4114	227996	7.22	0	-120.279732	1646131
24	4314	248328	8.50	0	80.569854	2110788
25	4289	249894	8.08	0	48.807558	2019144
26	4269	302660	7.26	0	-23.519661	2197312
27	4347	273848	7.39	0	78.869281	2023737
28	4178	245743	8.12	0	-58.398630	1995433
29	4333	267673	6.75	0	61.303251	1806793
30	4226	256506	7.79	0	-23.214763	1998182
31	4121	271854	7.89	0	-138.978271	2144928
32	3998	293225	9.01	0	-264.053024	2641957
33	4475	269121	8.01	0	218.752742	2155659
34	4545	322812	7.21	0	235.960794	2327475
35	4016	252225	7.85	0	-229.055311	1979966
36	4207	261365	6.14	0	-67.763118	1604781
37	4148	287645	6.76	0	-139.284659	1944480
38	4562	289666	7.92	0	288.397234	2294155
39	4146	270051	8.19	0	-108.609359	2211718
40	4555	265239	7.55	0	295.751820	2002554
41	4365	352466	6.94	0	29.065887	2446114
42	4471	426908	7.25	0	80.555515	3095083
43	5045	369989	9.65	1	107.399309	3570394
44	4469	472476	8.20	0	55.197555	3874303
45	4408	414102	8.02	0	37.772702	3321098
46	4219	302507	6.72	0	-80.508888	2032847
47	4211	382686	7.23	0	-144.901536	2766820
48	4993	442782	7.61	1	-28.753312	3369571
49	4309	322303	7.39	0	2.731302	2381819
50	4499	290455	7.99	0	225.697849	2320735
51	4186	411750	7.83	0	-184.877629	3224003
52	4342	292087	7.77	0	64.516810	2269516

